segment,start_sec,end_sec,dev_rr_impedance_pneumography,ref_rr_impedance_pneumography,AE_rr_impedance_pneumography,dev_rr_gyry_ribs_imu,ref_rr_gyry_ribs_imu,AE_rr_gyry_ribs_imu,dev_rr_mean_fused,ref_rr_mean_fused,AE_rr_mean_fused
0,0.0,30.0,16.024227117253073,16.015685595441035,0.008541521812038155,16.06632551678668,16.015685595441035,0.05063992134564543,16.045276317019876,16.015685595441035,0.029590721578841794
1,10.0,40.0,15.693768832837847,15.669052071917646,0.024716760920201253,15.656176678099898,15.669052071917646,0.012875393817747494,15.674972755468872,15.669052071917646,0.0059206835512259914
2,20.0,50.0,14.903427617264764,15.025938675870913,0.12251105860614864,14.988427241174822,15.025938675870913,0.03751143469609097,14.945927429219793,15.025938675870913,0.0800112466511198
3,30.0,60.0,13.759364823499293,13.789998752208476,0.030633928709182356,13.847119458010997,13.789998752208476,0.0571207058025216,13.803242140755145,13.789998752208476,0.013243388546669621
4,40.0,70.0,14.32763513314172,14.301062506760536,0.02657262638118496,14.264689162914857,14.301062506760536,0.03637334384567836,14.296162148028289,14.301062506760536,0.004900358732246701
5,50.0,80.0,16.458873080538748,16.401229143736874,0.05764393680187396,16.42390871173936,16.401229143736874,0.022679568002487827,16.441390896139055,16.401229143736874,0.040161752402180895
6,60.0,90.0,17.73098926076951,17.6282410698413,0.10274819092820664,17.64823741015675,17.6282410698413,0.019996340315447725,17.68961333546313,17.6282410698413,0.06137226562182718
7,70.0,100.0,17.060969606013398,17.018517734754543,0.04245187125885508,17.024248980685247,17.018517734754543,0.005731245930704176,17.042609293349322,17.018517734754543,0.024091558594779627
8,80.0,110.0,14.754176085126943,14.67731871547425,0.07685736965269285,14.74370368185042,14.67731871547425,0.06638496637616953,14.748939883488681,14.67731871547425,0.07162116801443119
9,90.0,120.0,14.553808552500119,14.53741246718576,0.016396085314358544,14.486741437003891,14.53741246718576,0.050671030181868915,14.520274994752004,14.53741246718576,0.017137472433756074
